RoleId;UserId
4;930
4;1202
4;1210
4;1248
4;1288
4;1387
4;1449
4;1593
4;1706
4;1771
4;2528
4;2529
4;2530
4;2531
4;2533
4;2535
4;2536
4;2537
4;2538
4;2544
4;2545
4;2547
4;2548
4;2550
4;2553
4;2557
4;2560
4;2564
4;2565
4;2579
4;2581
4;2582
4;2583
4;2584
4;2586
4;2588
4;2589
4;2590
4;2591
4;2592
4;2594
4;2595
4;2597
4;2599
4;2601
4;2602
4;2603
4;2604
4;2949
4;2951
4;2954
4;2956
4;2957
4;2959
4;2960
4;2962
4;2963
4;2965
4;2966
4;2969
4;2970
4;2972
4;2973
4;3277
4;3355
4;3448
4;3574
4;3579
4;3584
4;3865
4;4000
4;4184
4;4190
4;4478
4;5824
4;6108
4;6176
4;6219
4;6227
4;6242
4;6247
4;6341
4;6348
4;6349
4;6364
4;6378
4;6485
4;6487
4;6596
4;6622
4;6639
4;6696
4;6938
4;7609
4;8038
4;8169
4;8178
4;23095
4;23352
4;22678
4;23192
4;23193
4;22143
4;23597
4;23054
4;22149
4;22181
4;21686
4;21688
4;21699
4;21700
4;21711
4;20932
4;20952
4;22595
4;22600
4;22617
4;23021
4;22712
4;21149
4;12706
4;21125
4;23614
4;23615
4;23625
4;23627
4;22887
4;22911
4;12719
4;23513
4;23383
4;23390
4;21838
4;21840
4;21853
4;12771
4;12772
4;12808
4;12813
4;12883
4;12958
4;13047
4;13423
4;13450
4;13500
4;13534
4;13592
4;13615
4;13624
4;13812
4;13814
4;13816
4;14221
4;14228
4;14322
4;20994
4;23223
4;21069
4;21076
4;21077
4;21081
4;21084
4;21093
4;14500
4;14530
4;14605
4;14621
4;21641
4;21171
4;21174
4;21406
4;14738
4;14751
4;21435
4;14778
4;14801
4;21585
4;21644
4;14981
4;21730
4;15006
4;15016
4;15052
4;15066
4;15142
4;22697
4;15174
4;15186
4;15192
4;15195
4;15198
4;15199
4;15204
4;15210
4;15211
4;15214
4;15217
4;15219
4;15224
4;15242
4;15252
4;15264
4;15313
4;15324
4;15327
4;15332
4;15376
4;15400
4;15408
4;22366
4;15471
4;22436
4;15588
4;15593
4;15596
4;15599
4;15600
4;15601
4;15608
4;22495
4;15702
4;15782
4;15788
4;15852
4;15872
4;22641
4;22648
4;15953
4;16035
4;16039
4;16040
4;16043
4;16044
4;22846
4;16272
4;16308
4;16310
4;16362
4;16414
4;16429
4;16430
4;16457
4;16528
4;16551
4;16601
4;16610
4;16613
4;16655
4;16718
4;16734
4;16748
4;16761
4;16764
4;16773
4;16832
4;16864
4;16880
4;16883
4;17005
4;17053
4;17110
4;17131
4;23831
4;23849
4;23865
4;24260
4;24312
4;24322
4;24347
4;24348
4;2662
4;24431
4;24442
4;7350
4;7351
4;7353
4;7354
4;7382
4;7391
4;7395
4;24496
4;24503
4;24518
4;24532
4;13731
4;14025
4;14026
4;24599
4;24610
4;24872
4;24890
4;24986
4;25019
4;25032
4;25068
4;25114
4;25415
4;25393
4;25567
4;25360
4;25489
4;25148
4;25460
4;25462
4;25275
4;25285
4;25303
4;25552
4;25554
4;25561
4;25185
4;25344
4;25724
4;25794
4;25834
4;25843
4;25875
4;25932
4;25939
4;25953
4;25973
4;25997
4;26036
4;26037
4;26064
4;26170
4;26180
4;26189
4;26202
4;26297
4;10132
4;26539
4;26547
4;26548
4;26550
4;26553
4;26556
4;26558
4;26562
4;26633
4;26663
4;26672
4;26676
4;26688
4;26702
4;26728
4;26797
4;26807
4;26829
4;26897
4;26898
4;26899
4;26905
4;10421
4;26978
4;26980
4;26989
4;27064
4;27078
4;27136
4;27142
4;27143
4;27162
4;27231
4;27245
4;5880
4;27281
4;27282
4;27354
4;27494
4;27513
4;27516
4;27528
4;27568
4;27641
4;27654
4;27665
4;27742
4;27815
4;27934
4;27986
4;27996
4;28003
4;28014
4;28025
4;28051
4;28124
4;28127
4;28133
4;28138
4;28141
4;28142
4;28151
4;28154
4;28156
4;28161
4;28164
4;28186
4;28197
4;28208
4;28268
4;28279
4;28286
4;28330
4;28377
4;28382
4;28455
4;28460
4;28467
4;28468
4;28499
4;28507
4;28600
4;28602
4;28607
4;28630
4;28634
4;28659
4;28671
4;28726
4;8243
4;28740
4;7559
4;28851
4;28859
4;28860
4;28861
4;28874
4;28876
4;28891
4;28892
4;28893
4;28895
4;28896
4;28897
4;28898
4;28900
4;28901
4;28903
4;28904
4;28907
4;28910
4;28912
4;28913
4;28914
4;28915
4;28918
4;28919
4;28921
4;28924
4;28925
4;28926
4;28927
4;28928
4;28931
4;28932
4;28933
4;28935
4;28938
4;28939
4;28940
4;28942
4;28944
4;28946
4;28948
4;28950
4;28951
4;28952
4;28955
4;28956
4;28958
4;29086
4;29143
4;29161
4;9625
4;29196
4;29216
4;29239
4;29246
4;29250
4;29388
4;29477
4;29478
4;29590
4;29616
4;29621
4;29626
4;29636
4;29647
4;29664
4;29666
4;29809
4;29816
4;29821
4;29825
4;29833
4;29877
4;29885
4;29889
4;29952
4;29956
4;29958
4;29969
4;29984
4;30001
4;30060
4;30062
4;30068
4;30070
4;30079
4;30109
4;10117
4;10367
4;13541
4;30168
4;30190
4;30197
4;30198
4;21268
4;30215
4;30227
4;30232
4;30241
4;30257
4;30291
4;30300
4;30301
4;30306
4;730
4;1269
4;1270
4;1766
4;1769
4;1885
4;2102
4;2108
4;2112
4;2117
4;2119
4;2195
4;2441
4;2488
4;2706
4;3297
4;3769
4;3785
4;3923
4;4156
4;4177
4;4376
4;4484
4;4487
4;4508
4;4567
4;4589
4;5745
4;5778
4;5783
4;5892
4;5893
4;5929
4;5933
4;5935
4;5938
4;5956
4;5957
4;5960
4;5961
4;6234
4;6265
4;6266
4;6269
4;6686
4;6945
4;7293
4;7299
4;7305
4;7343
4;7347
4;7378
4;7379
4;7414
4;7434
4;7489
4;7925
4;7942
4;7943
4;7947
4;7950
4;7968
4;8042
4;8043
4;9833
4;9837
4;9841
4;9848
4;12701
4;12710
4;12712
4;12717
4;12763
4;12827
4;12862
4;12879
4;12890
4;12911
4;12925
4;12954
4;12979
4;13012
4;13029
4;13030
4;13031
4;13044
4;13083
4;13095
4;13299
4;13377
4;13387
4;13412
4;13509
4;13543
4;13552
4;13559
4;13567
4;13568
4;13569
4;13583
4;13593
4;13608
4;13621
4;13837
4;13849
4;13872
4;13940
4;14040
4;14052
4;14279
4;14282
4;14283
4;14284
4;14435
4;30327
4;30330
4;7643
4;8177
4;8195
4;30392
4;30396
4;30412
4;30418
4;7266
4;7268
4;30454
4;30517
4;30525
4;30526
4;30536
4;30539
4;30615
4;30620
4;30639
4;30770
4;30809
4;30838
4;30879
4;30889
4;30921
4;30969
4;30971
4;30973
4;30982
4;31002
4;31007
4;31032
4;31043
4;31044
4;31067
4;31074
4;31106
4;31113
4;31151
4;27093
4;31183
4;31186
