1;863
1;675
1;18
1;671
1;670
1;874
1;846
1;89
1;150
1;439
1;177
2;177
2;18
2;863
2;874
2;670
2;671
2;89
2;150
2;439
2;846
2;134
3;863
3;675
3;18
3;874
3;144
3;846
3;89
3;150
3;439
3;177
3;134
4;18
4;671
4;874
4;675
4;658
4;863
4;846
5;18
5;188
5;874
5;675
5;863
5;361
6;863
6;18
6;670
6;874
6;361
6;188
7;863
7;18
7;874
7;567
7;177
8;863
8;675
8;18
8;874
8;858
9;18
9;675
9;365
9;279
9;555
10;18
10;874
10;675
10;863
10;263
11;18
11;675
11;863
11;97
12;18
12;361
12;188
12;134
13;675
13;863
13;361
13;97
