1;2982
1;2294
1;6931
1;20368
1;5096
1;6122
2;2294
2;6931
2;20764
2;20765
2;5096
2;21649
2;20674
3;2982
3;19403
3;2294
3;6931
3;5096
4;2982
4;2294
4;6931
4;5096
4;5918
5;2982
5;17334
5;6931
5;22856
5;22444
6;2982
6;17334
6;6931
6;7087
6;19599
7;2982
7;17334
7;6931
7;7087
7;20308
8;2982
8;17334
8;6931
8;7095
8;7087
9;2294
9;16504
9;6931
9;15263
9;15819
9;13364
9;5096
10;2982
10;17334
10;6931
10;7095
10;19599
11;2982
11;2294
11;6931
11;19786
11;22821
11;19800
12;2982
12;17334
12;6931
12;13408
12;7095
13;2294
13;5476
13;6931
13;5816
13;5096
14;2982
14;2294
14;5476
14;6931
14;5096
15;2294
15;5476
15;6931
15;5446
15;5096
16;2294
16;5476
16;6931
16;5096
16;5460
17;2982
17;17334
17;6931
17;7097
17;20308
18;8805
18;6931
18;5785
18;2762
18;5647
19;5476
19;6931
19;5816
19;5446
19;5460
20;5476
20;5573
20;6931
20;5446
20;5460
21;8805
21;6931
21;5785
21;2762
21;4139
22;2982
22;19597
22;17334
22;6931
22;7087
23;6931
23;4731
23;16675
23;20381
23;13139
24;2294
24;6931
24;5744
24;5096
24;6122
25;8805
25;6931
25;16276
25;5785
25;9363
25;16283
25;5712
26;2982
26;2294
26;6931
26;5785
26;5096
27;5476
27;6931
27;5446
27;5449
27;5460
28;5476
28;6931
28;5446
28;5460
28;5453
29;2294
29;6931
29;5785
29;5096
29;4488
30;5476
30;6931
30;5816
30;5724
30;5460
31;5476
31;6931
31;5816
31;5446
31;5449
32;2982
32;7105
32;17334
32;6931
32;7087
33;15396
33;5476
33;6931
33;5816
33;5446
33;15413
34;2294
34;6931
34;5744
34;5096
34;5748
35;17334
35;6931
35;123
35;22856
35;16320
35;19874
36;2294
36;6931
36;5816
36;5096
36;5721
37;5476
37;6931
37;5816
37;5446
37;5453
38;2982
38;7101
38;17334
38;6931
38;123
38;16320
39;2294
39;6931
39;5724
39;5096
39;5721
40;2294
40;6931
40;5744
40;9363
40;5096
41;5476
41;6931
41;5446
41;5449
41;5453
42;2982
42;5742
42;6931
42;5785
42;5748
43;2294
43;6931
43;5744
43;5096
43;5712
44;2294
44;6931
44;5816
44;5480
44;5096
45;5742
45;6931
45;5744
45;5785
45;5748
46;2294
46;6931
46;5744
46;5096
46;16283
47;7004
47;2294
47;6931
47;7001
47;5096
48;2982
48;2294
48;6931
48;13471
48;19786
49;8805
49;6931
49;20764
49;15186
49;19620
50;12674
50;2294
50;6931
50;5744
50;5096
51;6931
51;12850
51;20764
51;6973
51;5096
52;13530
52;6931
52;5744
52;13532
52;16293
52;5712
52;13531
52;16301
53;2982
53;16479
53;6931
53;16548
53;16549
54;5742
54;16274
54;6931
54;20764
54;5712
55;2982
55;7105
55;17334
55;6931
55;13408
56;13441
56;8805
56;6931
56;5785
56;2762
57;5742
57;2294
57;6931
57;5096
57;5712
58;2294
58;6931
58;1808
58;6973
58;5096
58;12851
59;8805
59;6931
59;20764
59;5785
59;15802
59;16571
59;16565
60;2982
60;19610
60;17334
60;6931
60;13222
61;6931
61;5816
61;1808
61;6973
61;12851
