UserId;RoleId
7;177
123;18
123;308
304;361
304;257
308;295
333;18
349;361
352;361
387;243
416;361
449;135
486;361
501;177
510;361
524;361
525;177
534;356
537;268
538;18
576;134
603;361
604;286
613;223
620;361
620;18
626;18
627;242
649;134
650;361
657;361
669;18
673;361
673;191
694;361
694;150
700;351
775;186
825;97
830;365
837;97
847;361
861;361
862;18
864;325
866;361
881;361
901;280
910;361
910;150
930;4
936;361
949;97
950;224
954;18
968;298
970;97
981;99
987;361
987;306
1044;361
1065;361
1068;361
1069;361
1105;361
1105;123
1110;18
1117;361
1120;361
1124;361
1125;134
1155;18
1166;361
1176;361
1180;18
1202;4
1210;4
1214;225
1248;4
1250;177
1266;306
1271;361
1288;4
1318;361
1318;150
1320;237
1354;123
1358;361
1358;18
1361;361
1366;361
1387;4
1405;361
1405;186
1408;361
1409;365
1422;186
1449;4
1452;18
1473;134
1478;85
1520;361
1550;361
1550;75
1593;4
1630;302
1671;261
1705;113
1706;4
1709;177
1735;177
1737;361
1746;18
1753;188
1771;4
1862;18
1864;195
1866;361
1872;134
1892;236
1909;97
1971;177
1991;247
2022;361
2038;355
2038;57
2053;285
2056;18
2065;298
2071;265
2073;18
2076;150
2122;361
2128;236
2133;285
2136;104
2140;159
2165;214
2169;361
2297;18
2460;361
2470;18
2495;205
2511;361
2511;274
2521;361
2528;4
2529;4
2530;4
2531;4
2533;4
2535;4
2536;4
2537;4
2538;4
2539;149
2540;361
2540;150
2544;4
2545;4
2547;4
2548;4
2550;4
2553;4
2557;4
2560;4
2564;4
2565;4
2579;4
2581;4
2582;4
2583;4
2584;4
2586;4
2588;4
2589;4
2590;4
2591;4
2592;4
2594;4
2595;4
2597;4
2599;4
2601;4
2602;4
2603;4
2604;4
2606;83
2646;361
2670;361
2713;18
2728;312
2730;170
2822;298
2859;286
2904;18
2949;4
2951;4
2954;4
2956;4
2957;4
2959;4
2960;4
2962;4
2963;4
2965;4
2966;4
2969;4
2970;4
2972;4
2973;4
3017;192
3033;134
3039;361
3156;361
3156;255
3187;18
3205;75
3211;268
3277;4
3304;268
3338;18
3340;268
3355;4
3365;18
3411;177
3448;4
3501;213
3505;298
3551;265
3571;361
3571;255
3574;4
3579;4
3584;4
3588;127
3650;144
3702;268
3804;268
3865;4
3877;140
3986;18
4000;4
4016;361
4034;361
4053;104
4111;83
4138;177
4145;18
4145;177
4148;177
4184;4
4190;4
4236;225
4265;97
4284;361
4284;319
4286;361
4294;361
4319;18
4320;143
4346;361
4372;361
4413;361
4473;361
4478;4
4484;202
4508;201
4521;236
4524;361
4558;97
4602;285
4658;97
4705;97
4715;18
4734;279
4767;18
4785;222
4789;268
4808;177
4819;87
4906;268
4926;106
4936;211
4939;106
4954;225
4958;106
5020;177
5060;146
5063;360
5063;146
5075;133
5094;301
5097;360
5097;146
5112;144
5115;177
5124;360
5124;146
5153;268
5164;360
5164;301
5170;55
5183;108
5192;18
5193;133
5201;132
5204;58
5211;360
5211;47
5231;360
5231;125
5254;107
5257;69
5261;107
5271;58
5274;58
5281;133
5292;360
5292;125
5293;146
5295;55
5303;133
5327;146
5335;125
5336;301
5339;146
5340;58
5390;133
5397;133
5401;133
5406;301
5453;101
5455;133
5468;107
5481;55
5486;133
5495;59
5508;360
5520;146
5527;177
5534;47
5555;55
5575;133
5579;60
5619;211
5634;211
5650;211
5668;177
5680;177
5767;95
5817;211
20879;18
5824;4
5867;162
20882;18
5947;211
5950;211
5952;186
6038;211
6045;18
6108;4
6176;4
6219;4
6227;4
6242;4
6247;4
6280;211
6286;211
6291;211
6292;361
6297;177
6301;206
6315;18
6341;4
6348;4
6349;4
6353;211
6364;4
6378;4
6384;211
6393;211
6398;211
6400;361
6485;4
6485;347
6487;4
6499;192
6596;4
6602;91
6622;4
6634;225
6639;4
6686;201
6696;4
6938;4
6952;162
7007;177
7011;18
7012;18
7021;247
7054;206
7093;452
7118;162
7135;162
7195;247
7201;161
7349;206
7350;115
7493;97
7501;18
7552;18
7609;4
7715;225
7719;177
7734;177
7923;268
7952;177
8038;4
8128;268
8141;201
8169;4
8178;4
8213;351
8217;138
8266;347
8336;177
8399;18
8404;351
8457;258
8608;385
8609;18
8610;385
8615;268
8673;163
8724;18
8812;18
8854;217
8937;18
8940;18
8972;18
8973;18
8974;18
8978;18
8978;452
8980;18
8983;18
8984;18
9019;18
9045;18
9049;18
9053;18
9054;18
9060;18
9069;138
9071;18
9076;18
9078;18
9082;18
9084;18
9093;18
9104;18
9114;18
9116;18
9118;225
9124;18
9132;268
9186;177
9216;242
9219;18
9225;226
9238;164
9272;192
9468;164
9523;45
9549;18
9656;347
9656;352
9685;18
9738;18
9743;162
9800;385
9847;206
9862;275
9947;97
10014;303
10028;298
10107;149
10148;163
10149;177
10219;177
10259;97
10275;201
10303;201
10312;268
10314;268
10344;71
10373;201
10382;201
10439;320
10705;18
10737;70
10738;70
10789;18
10934;226
10946;134
10954;18
10962;18
10974;18
10977;18
10978;18
10979;18
10979;142
10980;18
10981;18
10981;75
10983;18
10984;18
10985;18
10985;164
10989;18
11011;18
11012;18
11030;452
11031;18
11037;18
11039;18
11052;18
11063;18
11066;18
11067;18
11073;18
11077;18
11086;18
11087;18
11089;18
11090;18
11093;18
11103;18
11113;18
11114;18
11115;18
11120;18
11130;18
11134;18
11141;18
11155;18
11156;18
11159;18
11170;18
11177;95
11178;18
11183;18
11193;18
11195;18
11199;18
11204;18
11205;18
11205;452
11214;18
11218;18
11221;18
11227;18
11228;18
11230;18
11233;18
11237;18
11243;18
11250;18
11282;18
11286;18
11291;18
11291;340
11302;18
11307;18
11315;18
11326;18
11337;18
11337;177
11348;18
11356;18
11367;18
11369;18
11372;18
11398;18
11414;18
11415;18
11419;18
11427;18
11432;18
11433;18
11434;18
11444;18
11447;18
11449;18
11451;18
11454;18
11463;18
11464;18
11467;18
11470;18
11482;18
11510;18
11605;162
11731;18
11734;18
11736;18
11742;18
11754;18
11760;18
11764;18
11765;18
11773;18
11774;18
11774;211
11779;18
11791;18
11797;18
11798;18
11815;18
11816;18
11818;18
11819;18
11822;18
11824;18
11825;18
11831;18
11844;18
11847;18
11860;18
11862;18
11864;18
11865;18
11866;18
11876;18
11877;18
11904;18
11906;18
11909;18
11912;18
11916;18
11917;18
11920;18
11929;18
11933;18
11933;265
11934;18
11936;18
11942;18
11943;18
11947;18
11948;18
11949;18
11950;18
11952;18
11959;18
11960;18
11962;18
11963;18
11964;18
11967;18
11968;18
11972;160
11972;18
11978;18
11982;18
11986;18
11987;18
11988;18
12007;18
12101;261
12128;225
12253;137
12270;258
12322;18
12431;177
12457;206
12518;143
23442;18
23086;18
23089;18
23092;18
23095;4
23460;385
23121;18
23593;18
23352;4
22677;18
22678;4
23192;202
23192;4
23193;4
22143;202
22143;4
21971;18
23597;4
23054;4
22149;4
22181;4
22997;18
21685;385
21686;4
21688;4
23006;18
23012;18
21699;4
21700;4
22049;18
12604;385
21904;385
21359;385
21051;18
21917;385
21710;18
21711;4
21713;18
21919;385
21360;385
21361;385
21363;385
21052;18
21055;18
21056;18
21057;18
21059;18
20932;4
20944;18
20952;4
20979;18
22595;4
22600;4
22617;4
12639;18
12665;18
12668;18
12670;18
12671;18
12674;18
12676;18
12677;18
12685;18
12689;18
12690;18
12693;18
12694;18
23231;18
22243;421
22788;385
23019;18
23021;4
22712;4
21149;4
21162;18
12706;4
21125;4
23614;4
23615;4
23625;4
23627;4
23637;18
21938;385
22713;18
22887;4
22911;4
22799;18
12719;4
22690;385
22691;18
12722;18
12726;18
12729;18
23513;4
22533;421
22534;421
23383;4
