id_user;id_permission
18;4172
18;4162
18;5647
18;6931
874;6931
863;7036
18;7036
874;7036
18;2491
874;2491
18;7036
18;7039
567;7036
863;7036
863;2210
863;5785
478;5785
863;4488
478;4488
863;4926
478;4926
18;5785
874;5785
89;7078
863;7078
863;7036
863;7033
863;7039
675;2982
658;2982
675;4179
658;4179
675;2294
658;2294
675;2190
658;2190
675;13091
658;13091
675;4648
658;4648
675;5096
658;5096
863;5785
863;5721
675;5785
658;5785
18;5785
188;5785
18;2982
188;2982
18;2759
188;2759
18;2294
188;2294
675;5744
658;5744
675;5721
658;5721
675;5716
658;5716
675;5742
658;5742
18;7004
18;7001
18;2189
874;2189
18;7004
874;7004
18;7001
874;7001
863;5785
863;6122
863;7004
863;7001
863;5659
863;5915
18;4520
18;4519
18;4816
18;4819
18;3861
18;2945
18;5659
18;2603
18;4520
874;4520
18;4519
874;4519
18;4816
874;4816
18;3861
874;3861
18;4820
874;4820
18;4122
874;4122
18;2945
874;2945
18;5659
874;5659
18;2603
874;2603
18;5668
874;5668
863;5271
18;4520
874;4520
18;3861
874;3861
18;2921
874;2921
18;2945
874;2945
18;2603
874;2603
863;4520
863;4816
863;4819
863;4535
863;5040
863;3861
863;2921
863;2945
863;2603
863;6657
863;6656
863;4520
863;7004
863;7001
863;4535
863;3861
863;2790
863;2945
863;4888
863;2603
863;3023
18;4535
18;4535
874;4535
18;5040
874;5040
863;5096
18;4816
874;4816
18;4819
874;4819
18;5659
874;5659
863;4816
863;4819
863;5659
863;5040
18;13272
188;13272
863;5748
863;5744
863;9366
863;5742
863;5785
863;5271
863;5748
863;5744
863;9366
863;5742
863;5096
18;4519
874;4519
863;4519
863;4519
18;2190
188;2190
863;7004
863;7001
863;4816
863;2603
863;3646
863;4822
863;7115
863;609
863;1729
863;7004
863;7001
863;3646
863;7115
863;609
863;1729
863;8171
863;5040
863;2945
863;5010
863;2945
863;4535
863;4535
675;5785
232;5785
863;1787
675;5740
658;5740
675;5742
232;5742
177;6854
18;6854
177;4697
18;4697
177;7036
18;7036
177;9556
18;9556
675;5753
658;5753
177;5476
18;5476
177;5573
18;5573
177;5446
18;5446
177;5449
18;5449
177;5453
18;5453
675;5754
658;5754
18;4603
303;4603
18;4601
303;4601
18;4734
303;4734
18;4605
303;4605
18;7078
303;7078
18;4733
303;4733
18;4615
303;4615
18;4544
303;4544
18;4731
303;4731
18;4542
303;4542
18;10480
303;10480
18;10595
303;10595
18;10576
303;10576
18;10442
303;10442
18;10466
303;10466
18;13339
303;13339
18;10539
303;10539
18;10488
303;10488
18;10512
303;10512
18;10437
