id_user,id_permission
18,2279
18,7101
18,9366
18,16620
18,5451
18,16278
18,4926
18,16726
18,4138
18,6854
18,21579
18,2269
18,5539
18,5573
18,5414
18,7087
18,5820
18,16875
18,122
18,6875
18,5719
18,2603
18,5720
18,4913
18,9557
18,16320
18,7033
18,2526
18,16597
18,5726
18,5514
18,9363
18,17334
18,5659
18,2280
18,16297
18,5428
18,5716
18,5570
18,16274
18,7086
18,4535
18,4819
18,2264
18,13272
18,16548
18,510
18,2982
18,8805
18,5818
18,5399
18,6876
18,2210
18,5564
18,4519
18,14963
18,15863
18,16565
18,2366
18,5484
18,5529
18,5096
18,7095
18,5416
18,5551
18,16402
18,5548
18,7339
18,12775
18,5604
18,5465
18,10503
18,2635
18,4321
18,2527
18,10442
18,15022
18,5382
18,19599
18,13532
18,19440
18,9367
18,4520
18,3025
18,16276
18,5217
18,2491
18,2759
18,5405
18,7001
18,5533
18,5599
18,5482
18,5744
18,16599
18,1100
18,13531
18,13464
18,15802
18,5723
18,8298
18,2363
18,2636
18,7039
18,13709
18,3861
18,6874
18,5748
18,5419
18,2278
18,7100
18,2290
18,15894
18,12780
18,13441
18,4488
18,609
18,16445
18,1729
18,5444
18,16116
18,5785
18,15307
18,123
18,13530
18,5710
18,1639
18,7106
18,2190
18,9556
18,22444
18,20764
18,2525
18,5420
18,5421
18,5554
18,5418
18,15717
18,16295
18,16923
18,13470
18,7078
18,16279
18,8052
18,5746
18,20381
18,5409
18,16301
18,7004
18,19403
18,5489
18,12674
18,15787
18,5271
18,5545
18,16293
18,4233
18,10408
18,19619
18,16283
18,7413
18,5513
18,16893
18,16598
18,5475
18,5449
18,5453
18,12678
18,5552
18,3646
18,5549
18,5715
18,19610
18,16748
18,8171
18,16600
18,443
18,5532
18,4162
18,16549
18,5712
18,17329
18,23200
18,4292
18,19598
18,5544
18,28
18,5563
18,7115
18,12784
18,15743
18,5474
18,2921
18,5481
18,5406
18,2294
18,5816
18,16236
18,19876
18,9
18,5547
18,13222
18,1637
18,5724
18,16675
18,2361
18,4816
18,16387
18,2762
18,16305
18,5742
18,5512
18,5543
18,5446
18,7036
18,4172
18,9618
18,4697
18,7103
18,16571
18,15892
18,14968
18,16277
18,5457
18,15289
18,4139
18,5647
18,5460
18,7105
18,16479
18,23172
18,5425
18,5711
18,6769
18,16622
18,5461
18,5752
18,7096
18,8000
18,2644
18,17681
18,5480
18,5476
18,20308
18,2945
89,19876
89,9
89,5547
89,13222
89,1637
89,5724
89,16675
89,2361
89,4816
89,16387
89,2762
89,16305
89,5543
89,4172
89,9618
89,4697
89,7103
89,16571
89,15892
89,14968
89,16277
89,5457
89,15289
89,4139
89,5647
89,16479
89,23172
89,5425
89,5711
89,6769
89,16622
89,5461
89,5752
89,7096
89,8000
89,2644
89,17681
89,5453
89,2945
89,2279
89,7101
89,9366
89,16620
89,5451
89,16278
89,4926
89,16726
89,4138
89,6854
89,21579
89,5414
89,16875
89,122
89,6875
89,5719
89,2603
89,5720
89,4913
89,9557
89,16320
89,7033
89,2526
89,16597
89,5726
89,5480
89,5659
89,2280
89,16297
89,5428
89,5716
89,5570
89,16274
89,7086
89,4535
89,4819
89,2264
89,13272
89,16548
89,5744
89,510
89,5816
89,5818
89,5399
89,6876
89,2210
89,5564
89,4519
89,14963
89,15863
89,16565
89,2366
89,5484
89,5529
89,5446
89,5416
89,5551
89,16402
89,5548
89,7339
89,12775
89,5604
89,5465
89,10503
89,2635
89,4321
89,2527
89,10442
89,15022
89,5460
89,5382
89,19599
89,13532
89,19440
89,9367
89,4520
89,3025
89,16276
89,5217
89,2491
89,2759
89,5405
89,5599
89,5476
89,16599
89,1100
89,13531
89,13464
89,15802
89,5723
89,8298
89,2363
89,2636
89,7039
89,13709
89,3861
89,6874
89,5573
89,5419
89,2278
89,7100
89,2290
89,15894
89,12780
89,13441
89,4488
89,609
89,16445
89,1729
89,16116
89,15307
