Testovac’ data (z firmy);;Vùstup algoritmu;
id_user;id_permission;id_user;id_permission
658;4233;;
658;4292;;
658;4321;;
658;5096;;
658;5217;;
658;5444;;
658;5446;;
658;5465;;
658;5476;;
658;5513;;
658;5514;;
658;5816;;
658;7001;;
658;7004;;
658;8298;;
658;13709;;
658;14968;;
670;228;;
670;546;;
670;2264;;
670;2269;;
670;2278;;
670;2279;;
670;5446;;
670;5449;;
670;5476;;
670;5482;;
670;5533;;
670;5539;;
670;5573;;
670;5816;;
671;546;;
671;5399;;
671;5414;;
671;5419;;
671;5444;;
671;5446;;
671;5449;;
671;5476;;
671;5514;;
671;5532;;
671;5533;;
671;5539;;
671;5543;;
671;5544;;
671;5551;;
671;5552;;
671;5573;;
671;5816;;
675;8;;
675;9;;
675;28;;
675;51;;
675;71;;
675;122;;
675;123;;
675;546;;
675;548;;
675;1278;;
675;1632;;
675;2294;;
675;2644;;
675;2762;;
675;2982;;
675;4138;;
675;4139;;
675;4233;;
675;4292;;
675;4321;;
675;4488;;
675;4648;;
675;4913;;
675;4926;;
675;5096;;
675;5217;;
675;5444;;
675;5446;;
675;5453;;
675;5465;;
675;5476;;
675;5513;;
675;5514;;
675;5533;;
675;5573;;
675;5647;;
675;5711;;
675;5712;;
675;5715;;
675;5716;;
675;5721;;
675;5742;;
675;5744;;
675;5748;;
675;5752;;
675;5785;;
675;5816;;
675;7001;;
675;7004;;
675;7087;;
675;7095;;
675;7097;;
675;7101;;
675;7103;;
675;7105;;
675;7339;;
675;8052;;
675;8298;;
675;8805;;
675;9363;;
675;9367;;
675;12674;;
675;12678;;
675;12775;;
675;12784;;
675;13408;;
675;13441;;
675;13464;;
675;13709;;
675;14968;;
675;15022;;
675;15717;;
675;16236;;
675;16276;;
675;16283;;
675;16295;;
675;16748;;
675;16875;;
675;16893;;
675;17329;;
675;17334;;
675;19403;;
675;19597;;
675;19598;;
675;19599;;
675;19619;;
675;19874;;
675;19876;;
675;20308;;
675;22444;;
675;22856;;
704;2982;;
704;5096;;
704;6931;;
704;19403;;
736;2982;;
736;7086;;
736;7096;;
736;7097;;
736;17334;;
