id_user;id_permission
930;6931
1202;6931
1210;6931
1248;6931
1288;6931
1387;6931
1449;6931
1593;6931
1706;6931
1771;6931
2528;6931
2529;6931
2530;6931
2531;6931
2533;6931
2535;6931
2536;6931
2537;6931
2538;6931
2544;6931
2545;6931
2547;6931
2548;6931
2550;6931
2553;6931
2557;6931
2560;6931
2564;6931
2565;6931
2579;6931
2581;6931
2582;6931
2583;6931
2584;6931
2586;6931
2588;6931
2589;6931
2590;6931
2591;6931
2592;6931
2594;6931
2595;6931
2597;6931
2599;6931
2601;6931
2602;6931
2603;6931
2604;6931
2949;6931
2951;6931
2954;6931
2956;6931
2957;6931
2959;6931
2960;6931
2962;6931
2963;6931
2965;6931
2966;6931
2969;6931
2970;6931
2972;6931
2973;6931
3277;6931
3355;6931
3448;6931
3574;6931
3579;6931
3584;6931
3865;6931
4000;6931
4184;6931
4190;6931
4478;6931
5824;6931
6108;6931
6176;6931
6219;6931
6227;6931
6242;6931
6247;6931
6341;6931
6348;6931
6349;6931
6364;6931
6378;6931
6485;6931
6487;6931
6596;6931
6622;6931
6639;6931
6696;6931
6938;6931
7609;6931
8038;6931
8169;6931
8178;6931
23095;6931
23352;6931
22678;6931
23192;6931
23193;6931
22143;6931
23597;6931
23054;6931
22149;6931
22181;6931
21686;6931
21688;6931
21699;6931
21700;6931
21711;6931
20932;6931
20952;6931
22595;6931
22600;6931
22617;6931
23021;6931
22712;6931
21149;6931
12706;6931
21125;6931
23614;6931
23615;6931
23625;6931
23627;6931
22887;6931
22911;6931
12719;6931
23513;6931
23383;6931
23390;6931
21838;6931
21840;6931
21853;6931
12771;6931
12772;6931
12808;6931
12813;6931
12883;6931
12958;6931
13047;6931
13423;6931
13450;6931
13500;6931
13534;6931
13592;6931
13615;6931
13624;6931
13812;6931
13814;6931
13816;6931
14221;6931
14228;6931
14322;6931
20994;6931
23223;6931
21069;6931
21076;6931
21077;6931
21081;6931
21084;6931
21093;6931
14500;6931
14530;6931
14605;6931
14621;6931
21641;6931
21171;6931
21174;6931
21406;6931
14738;6931
14751;6931
21435;6931
14778;6931
14801;6931
21585;6931
21644;6931
14981;6931
21730;6931
15006;6931
15016;6931
15052;6931
15066;6931
15142;6931
22697;6931
15174;6931
15186;6931
15192;6931
15195;6931
15198;6931
15199;6931
15204;6931
15210;6931
15211;6931
15214;6931
15217;6931
15219;6931
15224;6931
15242;6931
15252;6931
15264;6931
15313;6931
15324;6931
15327;6931
15332;6931
15376;6931
15400;6931
15408;6931
22366;6931
15471;6931
22436;6931
15588;6931
15593;6931
15596;6931
15599;6931
15600;6931
15601;6931
15608;6931
22495;6931
15702;6931
15782;6931
15788;6931
15852;6931
15872;6931
22641;6931
22648;6931
15953;6931
16035;6931
16039;6931
16040;6931
16043;6931
16044;6931
22846;6931
16272;6931
16308;6931
16310;6931
16362;6931
16414;6931
16429;6931
16430;6931
16457;6931
16528;6931
16551;6931
16601;6931
16610;6931
16613;6931
16655;6931
16718;6931
16734;6931
16748;6931
16761;6931
16764;6931
16773;6931
16832;6931
16864;6931
16880;6931
16883;6931
17005;6931
17053;6931
17110;6931
17131;6931
23831;6931
23849;6931
23865;6931
24260;6931
24312;6931
24322;6931
24347;6931
24348;6931
2662;6931
24431;6931
24442;6931
7350;6931
7351;6931
7353;6931
7354;6931
7382;6931
7391;6931
7395;6931
24496;6931
24503;6931
24518;6931
24532;6931
13731;6931
14025;6931
14026;6931
24599;6931
24610;6931
24872;6931
24890;6931
24986;6931
25019;6931
25032;6931
25068;6931
25114;6931
25415;6931
25393;6931
25567;6931
25360;6931
25489;6931
25148;6931
25460;6931
25462;6931
25275;6931
25285;6931
25303;6931
25552;6931
25554;6931
25561;6931
25185;6931
25344;6931
25724;6931
25794;6931
25834;6931
25843;6931
25875;6931
25932;6931
25939;6931
25953;6931
25973;6931
25997;6931
26036;6931
26037;6931
26064;6931
26170;6931
26180;6931
26189;6931
26202;6931
26297;6931
10132;6931
26539;6931
26547;6931
26548;6931
26550;6931
26553;6931
26556;6931
26558;6931
26562;6931
26633;6931
26663;6931
26672;6931
26676;6931
26688;6931
26702;6931
26728;6931
26797;6931
26807;6931
26829;6931
26897;6931
26898;6931
26899;6931
26905;6931
10421;6931
26978;6931
26980;6931
26989;6931
27064;6931
27078;6931
27136;6931
27142;6931
27143;6931
27162;6931
27231;6931
27245;6931
5880;6931
27281;6931
27282;6931
27354;6931
27494;6931
27513;6931
27516;6931
27528;6931
27568;6931
27641;6931
27654;6931
27665;6931
27742;6931
27815;6931
27934;6931
27986;6931
27996;6931
28003;6931
28014;6931
28025;6931
28051;6931
28124;6931
28127;6931
28133;6931
